TimeStamp,PreviousTimeStamp,DoorRotation,PreviousDoorRotation,topAngle,XPosition,YPosition,ZPosition,Inside/Outside,AngleOfParticipant,DeltaTheta,Radius,ClosestAngleToDoor,TTC
0.8046387,0.7903156,22.0511,22.69564,0.64454460144043,0.1491131,1.377818,1.883184,0,274.5273,107.5238,1.88907788359544,107.5238,0.490023040579262
0.8219373,0.8046387,21.27267,22.0511,0.77842903137207,0.1556282,1.377951,1.883975,0,274.7223,106.5504,1.8903915403001,106.5504,0.472728574171781
0.8327513,0.8219373,20.78603,21.27267,0.486639022827148,0.1627534,1.376701,1.884496,0,274.9361,105.85,1.89151071508536,105.85,0.461906186849061
0.8464434,0.8327513,20.16988,20.78603,0.616146087646484,0.1692148,1.374641,1.885308,0,275.1288,105.0411,1.89288618741741,105.0411,0.448217818263371
0.8601853,0.8464434,19.55149,20.16988,0.618389129638672,0.1815604,1.371774,1.88748,0,275.4945,104.057,1.89619261857561,104.057,0.43447539582382
0.8744276,0.8601853,18.91059,19.55149,0.640901565551758,0.1855019,1.372041,1.889625,0,275.6067,103.3039,1.89870836735275,103.3039,0.420234615778349
0.9026048,0.8744276,17.64262,18.91059,1.26797294616699,0.1958696,1.371933,1.89265,0,275.9085,101.7341,1.90275848849544,101.7341,0.392059361269938
0.9304813,0.9026048,16.38818,17.64262,1.25443649291992,0.2059902,1.371645,1.895069,0,276.2036,100.1846,1.90623127818685,100.1846,0.364182732372067
0.9584947,0.9304813,15.12757,16.38818,1.26060676574707,0.2147417,1.371519,1.897245,0,276.4576,98.66995,1.90935888595774,98.66995,0.336167425561903
0.9822323,0.9584947,14.05938,15.12757,1.06819343566895,0.222053,1.371553,1.898957,0,276.6696,97.38983,1.91189582477756,97.38983,0.312431187803571
1.007405,0.9822323,12.92663,14.05938,1.13275146484375,0.2281659,1.371696,1.900362,0,276.8464,96.08023,1.91401031773339,96.08023,0.287258203046397
1.034086,1.007405,11.72598,12.92663,1.20065116882324,0.2337541,1.372653,1.901484,0,277.0084,94.71762,1.91579765962113,94.71762,0.260576609263329
1.060691,1.034086,10.52875,11.72598,1.19723224639893,0.2393062,1.373913,1.901779,0,277.172,93.35675,1.91677584425726,93.35675,0.233971867214656
